"nomenclature","code","label","crown_cover","fuel_type","burnable","confidence","notes"
"worldcover","10","Tree cover",NA,"broadleaf_closed",TRUE,"ambiguous","Any tree cover at all: conifer and broadleaf, evergreen and deciduous, closed and open, all in one class. Mapped to the closed broadleaf type because that is the commonest case in the areas this package targets, but the class genuinely does not say. This is the single biggest loss against BD Foret, which separates species and crown cover."
"worldcover","20","Shrubland",NA,"shrubland",TRUE,"ambiguous","THE CLASS THIS PACKAGE NEEDS MOST AND TRUSTS LEAST. Measured against LiDAR on the two Maures plots it separates the understorey at 0.688 at best, and its cells carry practically the same measured understorey as Tree cover cells. Treat it as a hint, not as a maquis map, until fev_fuel_profile() says otherwise on your ground."
"worldcover","30","Grassland",NA,"grassland",TRUE,"clear","Herbaceous formation. Fine fuel, cured for part of the year."
"worldcover","40","Cropland",NA,"cropland",FALSE,"ambiguous","Worked agricultural land. FALSE for the same reason as CORINE 211: stubble carries fire for a few weeks a year and the mask has no season."
"worldcover","50","Built-up",NA,"non_fuel",FALSE,"ambiguous","Built surface. Same reservation as CORINE 112: the wildland-urban interface is where exposure matters most, and the class records buildings rather than the fuel between them. Non-fuel here, an ASSET in fev_vuln_layer()."
"worldcover","60","Bare / sparse vegetation",NA,"sparse_vegetation",TRUE,"ambiguous","Bare and sparsely vegetated. Holds both genuine fuel breaks and discontinuous fuel, as CORINE 331-333 do. Burnable TRUE with a low availability weight."
"worldcover","70","Snow and ice",NA,"non_fuel",FALSE,"clear","Permanent snow and ice."
"worldcover","80","Permanent water bodies",NA,"non_fuel",FALSE,"clear","Open water."
"worldcover","90","Herbaceous wetland",NA,"grassland",TRUE,"ambiguous","Herbaceous vegetation on saturated ground. Real biomass, but wet for most of the year -- burnable TRUE on the biomass, with the moisture left to the availability weight rather than pretended away here."
"worldcover","95","Mangroves",NA,"non_fuel",FALSE,"ambiguous","Absent from this package's target areas. FALSE on the grounds that a tidal evergreen forest does not carry wildfire in any regime this package models; the row exists so that a code present in the data never reads as NA."
"worldcover","100","Moss and lichen",NA,"sparse_vegetation",TRUE,"ambiguous","Moss and lichen cover, at altitude or on rock. Carries fire poorly and rarely. Kept burnable for consistency with CORINE 333 rather than on evidence."
