"nomenclature","code","label","crown_cover","fuel_type","burnable","confidence","notes"
"clcplus","1","Sealed",NA,"non_fuel",FALSE,"clear","Sealed surface. The EAGLE definition is artificial impervious cover, so vegetation inside it is below the pixel rather than absent."
"clcplus","2","Woody - needle leaved trees",NA,"conifer_closed",TRUE,"ambiguous","Conifer. Mapped to the closed type because the nomenclature records NO crown cover threshold -- unlike BD Forêt, which states 40%. An open pine stand and a closed one are the same class here, and the closed reading overstates the fuel of the former."
"clcplus","3","Woody - broadleaved deciduous trees",NA,"broadleaf_closed",TRUE,"ambiguous","Deciduous broadleaf. Same crown cover caveat as class 2. Its existence is a real gain: CORINE 311 could not separate this from evergreen sclerophyll."
"clcplus","4","Woody - broadleaved evergreen trees",NA,"sclerophyll_closed",TRUE,"ambiguous","Evergreen broadleaf. Around the Mediterranean this is holm and cork oak, which is exactly the sclerophyll type -- the distinction CORINE 311 could not make. Ambiguous rather than clear because at European scale the class also holds evergreen broadleaf that is not sclerophyllous, and because crown cover is unrecorded."
"clcplus","5","Low-growing woody plants",NA,"shrubland",TRUE,"ambiguous","Bushes and shrubs: maquis, garrigue, heath and post-fire regeneration all at once, where CORINE separates 322, 323 and 324. THE WEAKEST CLASS OF THE PRODUCT -- the producers give it a higher error tolerance than the others, from fuzzy definition and limited spectral separability. It is also the class that carries fire in the Var. Validate locally before trusting it."
"clcplus","6","Permanent herbaceous",NA,"grassland",TRUE,"clear","Permanent herbaceous cover. Closest to CORINE 321 natural grassland: fine fuel, cured for part of the year."
"clcplus","7","Periodically herbaceous",NA,"cropland",FALSE,"ambiguous","Herbaceous with a cultivation or management cycle -- arable ground, in practice. Treated as CORINE 211 is: FALSE, with the same reservation that stubble carries fire for a few weeks a year and the mask has no season."
"clcplus","8","Lichens and mosses",NA,"sparse_vegetation",TRUE,"ambiguous","Lichen and moss cover, on rock or at altitude. Carries fire poorly and rarely. One of the three classes the producers state fall regionally below the 85% per-class accuracy target. Marginal in both study areas, kept burnable for consistency with CORINE 333 rather than on evidence."
"clcplus","9","Non and sparsely vegetated",NA,"sparse_vegetation",TRUE,"ambiguous","Bare and sparsely vegetated ground. Merges what CORINE splits across 331, 332 and 333, so it holds both genuine fuel breaks (bare rock) and discontinuous fuel. Also one of the three classes stated to fall regionally below the 85% per-class target. Burnable TRUE with a low availability weight, as for CORINE 333."
"clcplus","10","Water",NA,"non_fuel",FALSE,"clear","Inland and marine water."
"clcplus","11","Snow and ice",NA,"non_fuel",FALSE,"clear","Permanent snow and ice."
"clcplus","253","Coastal seawater buffer",NA,"non_fuel",FALSE,"clear","A production artefact rather than an observed class: the seaward buffer of the coastline. Non-fuel, and mapped here so that a coastal AOI -- the Maures reach the sea -- does not leave unmatched pixels."
