"nomenclature","code","label","crown_cover","fuel_type","burnable","confidence","notes"
"bdforet_v2","FF0","Forêt fermée sans couvert arboré","none","unstocked",TRUE,"ambiguous","Clearcut or disturbance inside closed forest. Burnable is a judgement call: fresh logging slash is among the most flammable states a stand ever reaches, while a scraped or replanted cut carries almost nothing. The database does not say which, and gives no date. Flagged TRUE because slash is the more dangerous error."
"bdforet_v2","FF1-00","Forêt fermée de feuillus purs en îlots","closed","broadleaf_closed",TRUE,"ambiguous","Broadleaf islets. The dominant species is not stated, so evergreen sclerophyll stands (holm oak, cork oak) cannot be separated from deciduous ones -- a distinction that matters for flammability. Defaults to the deciduous reading, which is the more common case nationally."
"bdforet_v2","FF1G01-01","Forêt fermée de chênes décidus purs","closed","broadleaf_closed",TRUE,"clear","Deciduous oak. Burnable, but leaf-off for part of the year and with a moister litter regime than the evergreen oaks -- do not treat it as equivalent to FF1G06-06."
"bdforet_v2","FF1G06-06","Forêt fermée de chênes sempervirents purs","closed","sclerophyll_closed",TRUE,"clear","Holm and cork oak. Given its own fuel type rather than folded into broadleaf: evergreen sclerophyllous foliage, year-round crown fuel, and typically a dense shrub understorey. This is the single most important Mediterranean fuel type the BD Forêt can resolve and CORINE cannot -- CLC 311 lumps it with beech."
"bdforet_v2","FF1-09-09","Forêt fermée de hêtre pur","closed","broadleaf_closed",TRUE,"clear","Beech. Burnable but at the low end: dense shade, sparse understorey, moist litter. Kept TRUE because a burnable mask is not a flammability ranking; use fev_fuel_availability() to weight it down."
"bdforet_v2","FF1-10-10","Forêt fermée de châtaignier pur","closed","broadleaf_closed",TRUE,"clear","Chestnut, usually coppiced. Coppice means a dense low stratum, so the understorey assumption embedded in 'broadleaf_closed' understates it."
"bdforet_v2","FF1-14-14","Forêt fermée de robinier pur","closed","broadleaf_closed",TRUE,"clear","Black locust, usually coppiced, frequently on disturbed ground with a grassy or brambly understorey."
"bdforet_v2","FF1-49-49","Forêt fermée d'un autre feuillu pur","closed","broadleaf_closed",TRUE,"ambiguous","Catch-all for pure broadleaf stands of any other species. The species is unknown by construction, so the fuel type is a default, not a determination. Override this row if your study area has a known dominant."
"bdforet_v2","FF1-00-00","Forêt fermée à mélange de feuillus","closed","broadleaf_closed",TRUE,"clear","Mixed broadleaf."
"bdforet_v2","FF2-00","Forêt fermée de conifères purs en îlots","closed","conifer_closed",TRUE,"clear","Conifer islets, generally plantation."
"bdforet_v2","FF2-51-51","Forêt fermée de pin maritime pur","closed","conifer_closed",TRUE,"clear","Maritime pine. Landes plantations: high crown fuel, and a heath or gorse understorey the database does not record."
"bdforet_v2","FF2-52-52","Forêt fermée de pin sylvestre pur","closed","conifer_closed",TRUE,"clear","Scots pine."
"bdforet_v2","FF2G53-53","Forêt fermée de pin laricio ou pin noir pur","closed","conifer_closed",TRUE,"clear","Laricio and black pine, largely planted, often even-aged and dense."
"bdforet_v2","FF2-57-57","Forêt fermée de pin d'Alep pur","closed","conifer_closed",TRUE,"clear","Aleppo pine. The emblematic Mediterranean fire fuel: resinous, low crown base, serotinous regeneration, and near-systematically over a maquis or garrigue understorey that the BD Forêt cannot see."
"bdforet_v2","FF2G58-58","Forêt fermée de pin à crochets ou pin cembro pur","closed","conifer_closed",TRUE,"clear","Mountain and Swiss stone pine, subalpine. Burnable, but in a fire regime with little in common with the lowland Mediterranean one."
"bdforet_v2","FF2-81-81","Forêt fermée d'un autre pin pur","closed","conifer_closed",TRUE,"clear","Generic pure pine."
"bdforet_v2","FF2-80-80","Forêt fermée à mélange de pins purs","closed","conifer_closed",TRUE,"clear","Pine mixture."
"bdforet_v2","FF2G61-61","Forêt fermée de sapin ou épicéa","closed","conifer_closed",TRUE,"clear","Fir and spruce, mostly montane."
"bdforet_v2","FF2-63-63","Forêt fermée de mélèze pur","closed","conifer_closed",TRUE,"clear","Larch: a deciduous conifer, so leaf-off in winter and with a grassy understorey. Treated as conifer_closed for structure, which overstates its crown fuel outside the growing season."
"bdforet_v2","FF2-64-64","Forêt fermée de douglas pur","closed","conifer_closed",TRUE,"clear","Douglas fir plantation."
"bdforet_v2","FF2-91-91","Forêt fermée d'un autre conifère pur autre que pin","closed","conifer_closed",TRUE,"clear","Generic pure conifer other than pine."
"bdforet_v2","FF2-90-90","Forêt fermée à mélange d'autres conifères","closed","conifer_closed",TRUE,"clear","Mixture of conifers other than pine."
"bdforet_v2","FF2-00-00","Forêt fermée à mélange de conifères","closed","conifer_closed",TRUE,"clear","Conifer mixture."
"bdforet_v2","FF31","Forêt fermée à mélange de feuillus prépondérants et conifères","closed","mixed_closed",TRUE,"clear","Broadleaf-dominant mixture. Vertical mixtures raise crown continuity, which matters for torching, and neither database records it."
"bdforet_v2","FF32","Forêt fermée à mélange de conifères prépondérants et feuillus","closed","mixed_closed",TRUE,"clear","Conifer-dominant mixture."
"bdforet_v2","FO0","Forêt ouverte sans couvert arboré","none","unstocked",TRUE,"ambiguous","Open forest with no tree cover left. Same reasoning as FF0."
"bdforet_v2","FO1","Forêt ouverte de feuillus purs","open","broadleaf_open",TRUE,"clear","Tree cover 10-40%, so a continuous herb or shrub stratum under the trees. This is the closest the BD Forêt gets to describing an understorey, and it is still far short of what surface spread would need."
"bdforet_v2","FO2","Forêt ouverte de conifères purs","open","conifer_open",TRUE,"clear","Open conifer. Discontinuous crowns over a continuous surface fuel bed -- often more dangerous for surface spread than the closed equivalent, not less."
