"nomenclature","code","label","crown_cover","fuel_type","burnable","confidence","notes"
"clc","111","Continuous urban fabric",NA,"non_fuel",FALSE,"clear","Sealed surface, vegetation below the mapping unit."
"clc","112","Discontinuous urban fabric",NA,"non_fuel",FALSE,"ambiguous","The wildland-urban interface itself. Gardens, hedges and unmanaged plots inside it do carry fire, and this is where exposure assessment matters most -- but the class records buildings, not fuel. Treated as non-fuel here and as an ASSET in fev_vuln_layer(), which is the honest split."
"clc","121","Industrial or commercial units",NA,"non_fuel",FALSE,"clear","Sealed or bare surface."
"clc","122","Road and rail networks and associated land",NA,"non_fuel",FALSE,"clear","Linear infrastructure. Acts as a fuel break at this resolution, and as an ignition corridor in reality -- the mask records the first, not the second."
"clc","123","Port areas",NA,"non_fuel",FALSE,"clear","Sealed surface."
"clc","124","Airports",NA,"non_fuel",FALSE,"ambiguous","Runways are non-fuel but airport grassland can be extensive. Below the mapping unit, so not separable."
"clc","131","Mineral extraction sites",NA,"non_fuel",FALSE,"clear","Bare mineral surface."
"clc","132","Dump sites",NA,"non_fuel",FALSE,"clear","Not vegetation fuel."
"clc","133","Construction sites",NA,"non_fuel",FALSE,"clear","Bare ground."
"clc","141","Green urban areas",NA,"urban_vegetation",TRUE,"ambiguous","Parks and cemeteries: real vegetation, but irrigated, fragmented and managed. Burnable TRUE, with a low availability weight, rather than excluded outright."
"clc","142","Sport and leisure facilities",NA,"urban_vegetation",TRUE,"ambiguous","Golf courses, campsites, leisure parks. Campsites embedded in maquis are a recurring casualty in Mediterranean fires, which is the reason this row is not FALSE."
"clc","211","Non-irrigated arable land",NA,"cropland",FALSE,"ambiguous","See the note on agriculture above. Stubble carries fire for a few weeks a year; the mask has no season."
"clc","212","Permanently irrigated land",NA,"cropland",FALSE,"clear","Irrigated, kept green."
"clc","213","Rice fields",NA,"cropland",FALSE,"clear","Flooded for most of the cycle."
"clc","221","Vineyards",NA,"cropland",FALSE,"ambiguous","Worked vine rows are near-inert and are used as fire breaks; abandoned ones are not."
"clc","222","Fruit trees and berry plantations",NA,"cropland",FALSE,"ambiguous","Same reasoning as vineyards."
"clc","223","Olive groves",NA,"cropland",FALSE,"ambiguous","The weakest FALSE in this table. Abandoned Mediterranean olive groves with a grass or shrub floor burn readily, and abandonment is widespread. Override this row for a Mediterranean study area where groves are not actively worked."
"clc","231","Pastures",NA,"cropland",FALSE,"ambiguous","Grazed grassland: fine fuel, but kept short by stock. A pasture left ungrazed is functionally class 321."
"clc","241","Annual crops associated with permanent crops",NA,"cropland",FALSE,"ambiguous","See the note on agriculture."
"clc","242","Complex cultivation patterns",NA,"cropland",FALSE,"ambiguous","Small-holding mosaic. Contains hedges, field margins and fallow below the 25 ha unit, none of which are separable."
"clc","243","Land principally occupied by agriculture, with significant areas of natural vegetation",NA,"mosaic_agri_natural",TRUE,"ambiguous","The class is defined by containing significant natural vegetation, so the burnable fraction is real but unquantified -- somewhere between a quarter and a half of the polygon by the nomenclature's own definition. Burnable TRUE with a fractional availability weight is the least wrong option."
"clc","244","Agro-forestry areas",NA,"agroforestry",TRUE,"clear","Dehesa and montado: scattered oaks over grazed grass. Structurally an open forest, and it burns as one."
"clc","311","Broad-leaved forest",NA,"broadleaf_closed",TRUE,"clear","Broadleaf forest. Cannot separate evergreen sclerophyll from deciduous -- holm oak and beech land in the same class. This single limitation is the strongest argument for keeping BD Forêt primary in France."
"clc","312","Coniferous forest",NA,"conifer_closed",TRUE,"clear","Coniferous forest, species unresolved."
"clc","313","Mixed forest",NA,"mixed_closed",TRUE,"clear","Mixed forest."
"clc","321","Natural grassland",NA,"grassland",TRUE,"clear","Ungrazed or lightly grazed grassland. One of the three classes CORINE is kept for."
"clc","322","Moors and heathland",NA,"shrubland",TRUE,"clear","Moor and heath. One of the three classes CORINE is kept for."
"clc","323","Sclerophyllous vegetation",NA,"shrubland",TRUE,"clear","Maquis and garrigue. The most important class CORINE contributes: highly flammable, extensive around the Mediterranean, and outside the BD Forêt's forest scope in places."
"clc","324","Transitional woodland-shrub",NA,"transitional_shrub",TRUE,"clear","Regeneration, encroachment and post-disturbance shrub. Given its own type because it is a transient state -- what it was at the CLC vintage is not what it is now, and the gap grows with the age of the vintage."
"clc","331","Beaches, dunes, sands",NA,"non_fuel",FALSE,"ambiguous","Mostly bare, but back-dune vegetation exists below the mapping unit."
"clc","332","Bare rocks",NA,"non_fuel",FALSE,"clear","Rock. A genuine fuel break."
"clc","333","Sparsely vegetated areas",NA,"sparse_vegetation",TRUE,"ambiguous","Under 50% vegetation cover by definition, so fuel is present but discontinuous. Burnable TRUE with a low weight; spread across it is unreliable in either direction."
"clc","334","Burnt areas",NA,"burnt_regrowth",TRUE,"ambiguous","Burnt at the CLC vintage. Whether it is fuel today depends entirely on how long ago that was: bare in year one, and in Mediterranean shrubland among the most flammable states there is by year five to ten. Compare the CLC vintage to your analysis date before trusting this row."
"clc","335","Glaciers and perpetual snow",NA,"non_fuel",FALSE,"clear","Ice and snow."
"clc","411","Inland marshes",NA,"non_fuel",FALSE,"ambiguous","Waterlogged, but reedbeds burn fast and hot when dry -- Camargue-type situations are not covered by this FALSE."
"clc","412","Peat bogs",NA,"non_fuel",FALSE,"ambiguous","Peat burns by smouldering, which is a different process from the flaming spread this package models. FALSE is a scope decision, not a claim that peat does not burn."
"clc","421","Salt marshes",NA,"non_fuel",FALSE,"clear","Halophytic, waterlogged."
"clc","422","Salines",NA,"non_fuel",FALSE,"clear","Salt pans."
"clc","423","Intertidal flats",NA,"non_fuel",FALSE,"clear","Tidal, unvegetated."
